upacc,id,entry,name,mass,sasa,fPos,fNeg,net,ncd,fFatty
A0A1Y1R437,A0A1Y1R437,A0A1Y1R437_9GAMM,Cytochrome c1,28371.0,11218.609710137387,0.09163346613545817,0.13545816733067728,-11,-0.0009805136540279276,0.2788844621513944
A0A0D6SBM6,A0A0D6SBM6,A0A0D6SBM6_9PSED,"Ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit",29228.0,11464.995576008081,0.1076923076923077,0.1076923076923077,0,0.0,0.2846153846153846
A0A0D6SB70,A0A0D6SB70,A0A0D6SB70_9PSED,Cytochrome c oxidase subunit 2 (EC 7.1.1.9),38924.0,14131.859080016728,0.10057471264367816,0.12643678160919541,-9,-0.0006368588838199302,0.27011494252873564
E8WY87,E8WY87,E8WY87_GRATM,Peptidase S9B dipeptidylpeptidase IV domain protein,87368.0,25499.272914116536,0.0970625798212005,0.11494252873563218,-14,-0.0005490352625799587,0.227330779054917
A0A4Y8ZRD6,A0A4Y8ZRD6,A0A4Y8ZRD6_9SPHN,Cytochrome c1,34264.0,12875.744028492143,0.09003215434083602,0.09967845659163987,-3,-0.0002329962442062717,0.2315112540192926
A0A371R7Q7,A0A371R7Q7,A0A371R7Q7_9PROT,Cytochrome c1,33352.0,12624.65513431678,0.07590759075907591,0.1254125412541254,-15,-0.0011881512675325661,0.22772277227722773
A0A0A0HG62,A0A0A0HG62,A0A0A0HG62_9RHOB,"Cytochrome c, mono-and diheme variant",17110.0,7755.558113417282,0.06329113924050633,0.14556962025316456,-13,-0.0016762172122093601,0.18354430379746836
A0A0A0HK47,A0A0A0HK47,A0A0A0HK47_9RHOB,Cytochrome c1,30320.0,11776.13737315146,0.06761565836298933,0.12811387900355872,-17,-0.001443597290123201,0.2277580071174377
A0A2R7L3L2,A0A2R7L3L2,A0A2R7L3L2_9SPHI,S9 family peptidase,82184.0,24385.70188666496,0.11740331491712708,0.10911602209944751,6,0.0002460458193036892,0.23066298342541436
A0A2R7KAG3,A0A2R7KAG3,A0A2R7KAG3_9SPHI,Cytochrome C,15918.0,7357.311682392303,0.12837837837837837,0.060810810810810814,10,0.0013591921114246449,0.25675675675675674
Q0FQ99,Q0FQ99,Q0FQ99_SALBH,"Ubiquinol--cytochrome c reductase, cytochrome c1",28870.0,11362.311769831316,0.07196969696969698,0.13257575757575757,-16,-0.0014081641416038644,0.23106060606060605
Q0FJF8,Q0FJF8,Q0FJF8_SALBH,Probable c-type cytochrome,12381.0,6124.240366003453,0.0990990990990991,0.16216216216216217,-7,-0.0011429988997260813,0.14414414414414414
Q0FIZ2,Q0FIZ2,Q0FIZ2_SALBH,Probable c-type cytochrome,16795.0,7651.066125273598,0.07096774193548387,0.13548387096774195,-10,-0.001307007394298583,0.2
A0A142L237,A0A142L237,A0A142L237_9BACT,Peptidase S9,82126.0,24373.137530868047,0.11666666666666667,0.10833333333333334,6,0.00024617265595786063,0.2361111111111111
A0A502G5X2,A0A502G5X2,A0A502G5X2_9PROT,Cytochrome c1,28080.0,11134.492702604648,0.09266409266409266,0.10424710424710425,-3,-0.00026943302044629496,0.23166023166023167
A0A1M6HP51,A0A1M6HP51,A0A1M6HP51_9BACT,"Cytochrome c, mono-and diheme variants",54606.0,18093.642941046037,0.12678936605316973,0.1165644171779141,5,0.0002763401497581967,0.23517382413087934
A0A1M6HM08,A0A1M6HM08,A0A1M6HM08_9BACT,Quinoprotein glucose dehydrogenase,156484.0,39021.46810672088,0.10566829951014696,0.12176347095871239,-23,-0.0005894191355665212,0.23862841147655703
A0A1M6HM15,A0A1M6HM15,A0A1M6HM15_9BACT,Cytochrome c553,21670.0,9215.471380507486,0.07246376811594203,0.11594202898550725,-9,-0.0009766185177501338,0.2463768115942029
A0A238CZG8,A0A238CZG8,A0A238CZG8_THIDL,Putative Cytochrome c1,29803.0,11629.213315711542,0.10227272727272728,0.08712121212121213,4,0.000343961357609275,0.2727272727272727
A0A7G6YT69,A0A7G6YT69,A0A7G6YT69_9BACT,S9 family peptidase,76297.0,23097.82021226493,0.11420204978038068,0.11273792093704246,1,4.3294128658469704e-05,0.22108345534407028
A0A7G6YJW7,A0A7G6YJW7,A0A7G6YJW7_9BACT,Cytochrome c,15626.0,7258.543068164509,0.10884353741496598,0.07482993197278912,5,0.0006888434707964564,0.22448979591836735
A0A1Y5TMW4,A0A1Y5TMW4,A0A1Y5TMW4_9RHOB,Cytochrome c1,28229.0,11177.592173697885,0.07604562737642585,0.12547528517110265,-13,-0.0011630411807822478,0.22813688212927757
A0A0R0BYD5,A0A0R0BYD5,A0A0R0BYD5_9GAMM,Ubiquinol cytochrome C oxidoreductase,27282.0,10902.602511339608,0.0728744939271255,0.08097165991902834,-2,-0.00018344243935517547,0.24696356275303644
A0A074TNW8,A0A074TNW8,A0A074TNW8_9RHOB,Cytochrome C,29218.0,11462.13194065862,0.07835820895522388,0.11940298507462686,-11,-0.0009596818512427569,0.2462686567164179
A0A074U1Q7,A0A074U1Q7,A0A074U1Q7_9RHOB,Cytochrome C,16966.0,7707.8553740842835,0.07051282051282051,0.11538461538461539,-7,-0.0009081644193189888,0.1794871794871795
R5YZY2,R5YZY2,R5YZY2_9BACE,Uncharacterized protein,82507.0,24455.6286235122,0.1083676268861454,0.11659807956104253,-6,-0.00024534229286715057,0.23182441700960219
M7NYE7,M7NYE7,M7NYE7_9BACT,Prolyl tripeptidyl peptidase (EC 3.4.14.12),84817.0,24953.592105213545,0.10455764075067024,0.11394101876675604,-7,-0.0002805207350703425,0.24396782841823056
E6WR12,E6WR12,E6WR12_PSEUU,Cytochrome c1,27625.0,11002.495984648036,0.0931174089068826,0.10931174089068826,-4,-0.00036355387046550764,0.24696356275303644
A0A5B8VAV5,A0A5B8VAV5,A0A5B8VAV5_9BACT,S9 family peptidase,82088.0,24364.90441252989,0.10620689655172413,0.11310344827586206,-5,-0.0002052131999101421,0.2289655172413793
